"","X","participant","text","tier_name","word","duration","vot","relative_vot","language","vot_ms","vowel","sp_eng_p","fr_sp_p","fr_eng_p","relative_vot_z"
"49",194,314845,"p","MAU","patte",0.626775344431687,0.0108403415614235,0.0172954179798709,"french",10.8403415614235,"a",0.00568147051683962,0.0254963472976478,0.547701269369506,-1.28149779609481
"50",270,314837,"t","MAU","tiro",0.436321925229621,0.0110747273249139,0.0253820096688601,"spanish",11.0747273249139,"i",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-1.14736608721343
"51",271,314837,"t","MAU","tema",0.358813711341877,0.00622247656242791,0.0173418026283258,"spanish",6.22247656242791,"e",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-1.28072841730058
"52",272,314837,"t","MAU","talla",0.340645280204457,0.00649326025612207,0.0190616475068281,"spanish",6.49326025612207,"a",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-1.25220147524185
"53",273,314837,"k","MAU","quiso",0.397035767078071,0.0481955726176809,0.121388490947225,"spanish",48.1955726176809,"i",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,0.445086443200511
"54",274,314837,"k","MAU","queja",0.378212266672108,0.0152350746268657,0.0402818098971754,"spanish",15.2350746268657,"e",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-0.900224183247099
"55",275,314837,"p","MAU","piso",0.325579703645235,0.00922893943742831,0.0283461755573208,"spanish",9.22893943742831,"i",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-1.09819968295829
"56",276,314837,"p","MAU","pena",0.334870840269805,0.0118657792766934,0.0354338982371029,"spanish",11.8657792766934,"e",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-0.980636141768126
"57",277,314837,"p","MAU","pato",0.300516683409874,0.00720736222732499,0.0239832349590219,"spanish",7.20736222732499,"a",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-1.1705674617092
"58",278,314837,"k","MAU","cama",0.321020678207664,0.0152957468348831,0.0476472323224876,"spanish",15.2957468348831,"a",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-0.778054456551791
"59",279,314837,"t","MAU","tipping",0.582336004805038,0.0504154040690992,0.086574423791601,"english",50.4154040690992,"i",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-0.132371959584089
"60",280,314837,"t","MAU","teller",0.464526465731379,0.0557838117106773,0.120087477949933,"english",55.7838117106773,"e",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,0.423506635128679
"61",281,314837,"t","MAU","tacky",0.59696786380597,0.0533227611940299,0.0893226661382917,"english",53.3227611940299,"a",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-0.0867870634301608
"62",282,314837,"p","MAU","penny",0.345410522494377,0.0426387945954096,0.123443820667345,"english",42.6387945954096,"e",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,0.4791780479553
"63",283,314837,"p","MAU","pass",0.515604275258324,0.0758312643513201,0.147072605853254,"english",75.8312643513201,"a",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,0.871106991281625
"64",284,314837,"p","MAU","parrot",0.446254302546463,0.087015714695752,0.194991318177133,"english",87.015714695752,"a",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,1.66593119146336
"65",285,314837,"k","MAU","kitten",0.510395755597015,0.0703957555970149,0.137923865598514,"english",70.3957555970149,"i",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,0.719357501301685
"66",286,314837,"k","MAU","kennel",0.505160972319356,0.0896396576332958,0.177447709829466,"english",89.6396576332958,"e",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,1.37493663428517
"67",287,314837,"k","MAU","cabbage",0.586701394406248,0.0555122296530903,0.0946175178418822,"english",55.5122296530903,"a",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,0.00103825712399797
"68",288,314837,"t","MAU","tir",0.290105927095293,0.0137701636050516,0.0474659850728537,"french",13.7701636050516,"i",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-0.781060791514461
"69",289,314837,"t","MAU","terre",0.415559650953107,0.0143561280137774,0.0345464916549306,"french",14.3561280137774,"e",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-0.995355490279493
"70",290,314837,"t","MAU","tasse",0.482600287026406,0.0280998495333935,0.0582259279341373,"french",28.0998495333935,"a",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-0.602586400948272
"71",291,314837,"k","MAU","quitte",0.452153189580941,0.0592995981630311,0.131149352762479,"french",59.2995981630311,"i",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,0.60698914903611
"72",292,314837,"k","MAU","quelle",0.305288558409874,0.0360954075774971,0.118233738485005,"french",36.0954075774971,"e",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,0.392758793291901
"73",293,314837,"p","MAU","pile",0.386736509758898,0.06316696326062,0.163333333333333,"french",63.16696326062,"i",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,1.14082249670614
"74",294,314837,"p","MAU","pere",0.416390015165073,0.0312280511645141,0.0749971181516783,"french",31.2280511645141,"e",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-0.324403887180889
"75",295,314837,"p","MAU","patte",0.537567250162892,0.0482501580447183,0.0897565058699125,"french",48.2501580447183,"a",6.36504675918844e-05,0.0220470422929423,0.0665635901825043,-0.0795909953187746
"76",347,314833,"t","MAU","tipping",0.716944143908044,0.0850820321469576,0.118673167038059,"english",85.0820321469576,"i",0.0171801271440082,0.409773589519806,0.0744852899543945,0.40004756277839
"77",348,314833,"t","MAU","teller",0.555184904399519,0.10757036891389,0.19375593259373,"english",107.57036891389,"e",0.0171801271440082,0.409773589519806,0.0744852899543945,1.64543994053809
"78",349,314833,"t","MAU","tacky",0.435181131601607,0.0791051951779564,0.181775333151104,"english",79.1051951779564,"a",0.0171801271440082,0.409773589519806,0.0744852899543945,1.4467186079338
"79",350,314833,"p","MAU","penny",0.513458567738232,0.0864883467278987,0.168442698519721,"english",86.4883467278987,"e",0.0171801271440082,0.409773589519806,0.0744852899543945,1.22557116587444
"80",351,314833,"p","MAU","pass",0.640247731443204,0.0495725889781859,0.0774271997285218,"english",49.5725889781859,"a",0.0171801271440082,0.409773589519806,0.0744852899543945,-0.284096300603099
"81",352,314833,"p","MAU","parrot",0.668725757032147,0.0447090843857635,0.0668571292725221,"english",44.7090843857635,"a",0.0171801271440082,0.409773589519806,0.0744852899543945,-0.45942129137644
"82",353,314833,"k","MAU","kitten",0.545863777267508,0.144352332089552,0.264447538197447,"english",144.352332089552,"i",0.0171801271440082,0.409773589519806,0.0744852899543945,2.81799646717784
"83",354,314833,"k","MAU","kennel",0.517082699483352,0.127082699483352,0.245768616142695,"english",127.082699483352,"e",0.0171801271440082,0.409773589519806,0.0744852899543945,2.50817054401698
"84",355,314833,"k","MAU","cabbage",0.641959705080367,0.0819597050803673,0.127671105260581,"english",81.9597050803673,"a",0.0171801271440082,0.409773589519806,0.0744852899543945,0.549295710405195
"85",356,314833,"t","MAU","tiro",0.368520669489093,0.0410175086107922,0.111303142555498,"spanish",41.0175086107922,"i",0.0171801271440082,0.409773589519806,0.0744852899543945,0.277801502093821
"86",357,314833,"t","MAU","tema",0.433866446613088,0.0178133180252582,0.0410571459588893,"spanish",17.8133180252582,"e",0.0171801271440082,0.409773589519806,0.0744852899543945,-0.887363740317026
"87",358,314833,"t","MAU","talla",0.502977733926521,0.0260168197474168,0.0517255894099231,"spanish",26.0168197474168,"a",0.0171801271440082,0.409773589519806,0.0744852899543945,-0.710407043821523
"88",359,314833,"k","MAU","quiso",0.715364351993219,0.0646025760619977,0.0903072341835256,"spanish",64.6025760619977,"i",0.0171801271440082,0.409773589519806,0.0744852899543945,-0.0704561047894473
"89",360,314833,"k","MAU","queja",0.564030738830906,0.0767027411021814,0.135990356236908,"spanish",76.7027411021814,"e",0.0171801271440082,0.409773589519806,0.0744852899543945,0.687286521983725
"90",361,314833,"p","MAU","piso",0.428011915183697,0.0225596297359357,0.0527079479230232,"spanish",22.5596297359357,"i",0.0171801271440082,0.409773589519806,0.0744852899543945,-0.694112734529798
"91",362,314833,"p","MAU","pena",0.523549278846154,0.0305580439150401,0.0583670824308779,"spanish",30.5580439150401,"e",0.0171801271440082,0.409773589519806,0.0744852899543945,-0.600245081565238
"92",363,314833,"k","MAU","cama",0.46267544489093,0.0685578358208956,0.148176949042665,"spanish",68.5578358208956,"a",0.0171801271440082,0.409773589519806,0.0744852899543945,0.889424651537541
"93",364,314833,"t","MAU","tir",0.382715427669346,0.0696125717566016,0.181891208777569,"french",69.6125717566016,"i",0.0171801271440082,0.409773589519806,0.0744852899543945,1.448640628532
"94",365,314833,"t","MAU","terre",0.610369906752117,0.0682941518369691,0.111889775497573,"french",68.2941518369691,"e",0.0171801271440082,0.409773589519806,0.0744852899543945,0.287531940087095
"95",366,314833,"t","MAU","tasse",0.414164541475316,0.0375310203788749,0.0906186228429499,"french",37.5310203788749,"a",0.0171801271440082,0.409773589519806,0.0744852899543945,-0.0652911237169227
"96",367,314833,"k","MAU","quitte",0.57086258015338,0.0814197545924226,0.142625839252849,"french",81.4197545924226,"i",0.0171801271440082,0.409773589519806,0.0744852899543945,0.797348796723454
"97",368,314833,"k","MAU","quelle",0.50272099956946,0.0707552023536165,0.14074447340416,"french",70.7552023536165,"e",0.0171801271440082,0.409773589519806,0.0744852899543945,0.766142718066196
"98",369,314833,"p","MAU","pile",0.598570908438576,0.0446504879448909,0.0745951520787496,"french",44.6504879448909,"i",0.0171801271440082,0.409773589519806,0.0744852899543945,-0.331071269231064
"99",370,314833,"p","MAU","pere",0.671473785089514,0.0449665459456861,0.0669669418884188,"french",44.9665459456861,"e",0.0171801271440082,0.409773589519806,0.0744852899543945,-0.457599837494082
"100",371,314833,"p","MAU","patte",0.782258509775941,0.0262512055109068,0.0335582229951398,"french",26.2512055109068,"a",0.0171801271440082,0.409773589519806,0.0744852899543945,-1.01174783074502
"101",469,314826,"t","MAU","tipping",0.56795980912744,0.065042049368542,0.114518753480931,"english",65.042049368542,"i",0.0146586667893835,0.0339264395370308,0.470235063097052,0.331138606910582
"102",470,314826,"t","MAU","teller",0.543730855338691,0.046642766934558,0.085782821549651,"english",46.642766934558,"e",0.0146586667893835,0.0339264395370308,0.470235063097052,-0.145502208464054
"103",471,314826,"t","MAU","tacky",0.597339433840413,0.0289173435706085,0.0484102370149802,"english",28.9173435706085,"a",0.0146586667893835,0.0339264395370308,0.470235063097052,-0.76539855314716
"104",472,314826,"p","MAU","penny",0.416767200057405,0.031290499425947,0.0750790835306546,"english",31.290499425947,"e",0.0146586667893835,0.0339264395370308,0.470235063097052,-0.32304433339432
"105",473,314826,"p","MAU","pass",0.596961097026294,0.0171640368742404,0.028752354147936,"english",17.1640368742404,"a",0.0146586667893835,0.0339264395370308,0.470235063097052,-1.09146242818327
"106",474,314826,"p","MAU","parrot",0.657030172215844,0.0415188338588344,0.0631916700549862,"english",41.5188338588344,"a",0.0146586667893835,0.0339264395370308,0.470235063097052,-0.520219997134335
"107",475,314826,"k","MAU","kitten",0.926075416188289,0.0801599311136626,0.0865587507371695,"english",80.1599311136626,"i",0.0146586667893835,0.0339264395370308,0.470235063097052,-0.13263192739935
